Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020<R>,2021<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tlaxcala<C1>,48014.674,52400.613,52438.251,50152.905,51967.69,53215.919,51541.456,52747.01,53498.337,55287.103,58147.663,60743.993,63371.953,64426.391,66648.219,62646.66,68466.659,75028.603,75936.846,81438.956,84470.633,87301.192,84518.04,83254.186,89789.73,79279.279,77889.934,79019.573,83246.79,81739.53,88809.886,86031.739,89918.601,87657.644,90362.518,96458.62,96859.667,95585.227,98881.599,103564.841,91086.84,94889.135
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,411742.585,442572.805,444623.143,434154.35,447494.32,456578.073,448836.665,458544.085,465543.898,480047.163,501400.217,519830.748,535733.762,547798.588,580628.682,563393.427,585546.211,603388.826,623931.966,613825.678,617345.854,605429.892,602163.463,613590.201,643859.491,648906.398,684557.368,705608.578,704314.03,688981.395,718148.55,746817.731,779730.434,781357.276,780785.356,785745.931,784930.108,776072.856,794018.647,801594.693,738747.441,767013.242
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Yucatán<C1>,87934.565,95449.569,95772.004,92941.08,96022.62,97940.726,95553.677,97635.024,99038.933,102418.83,107448.34,111614.691,115190.89,119713.936,127858.8,119697.961,126563.704,133911.571,142108.839,147533.592,158132.945,160886.253,159571.753,161636.497,169013.747,176907.681,185462.602,191217.075,193158.623,189365.458,196149.981,202893.85,214700.599,215788.237,223858.768,230374.526,242505.306,252391.124,261283.809,263341.632,242552.378,259829.011
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Zacatecas<C1>,52903.602,56625.33,57223.942,56881.979,58713.776,60179.363,59892.859,61457.533,62688.035,64913.912,68219.296,71392.918,74863.619,77488.535,80413.207,81493.113,80925.45,83720.472,90020.358,88345.985,87995.598,91169.187,98038.536,101406.31,105664.685,105661.441,112108.368,115935.139,126383.577,130512,144730.56,144876.886,148728.64,146858.788,156808.457,159905.359,157998.056,157621.131,157631.239,151882.034,145444.441,150781.616
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,0.693867505,0.70432766,0.707395393,0.702522144,0.710359292,0.718387003,0.717337306,0.72664926,0.735430002,0.746982339,0.763009396,0.777172277,0.794779877,0.806695688,0.820491547,0.832270729,0.838523281,0.842430066,0.851101298,0.845976654,0.875012077,0.925019476,0.968886053,0.965018069,0.969712515,0.97116219,0.991371895,1.054442417,1.048063138,1.049591193,1.060486086,1.06840997,1.086812574,1.104805287,1.18554174,1.195582947,1.246411552,1.250478615,1.270483194,1.259201432,1.256834567,1.213066122
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California<C1>,3.125354245,3.210466345,3.185153913,3.05204965,3.081584737,3.106748531,2.990967942,3.00693848,2.999816602,3.023395874,3.066664324,3.079602826,3.120702598,3.038167751,3.112712327,2.991752434,3.162685387,3.335071057,3.306694032,3.50682921,3.656922734,3.399839128,3.258233618,3.181075555,3.241250768,3.244060448,3.273323773,3.238152394,3.176867992,2.987467813,2.98321205,2.962534873,2.955250425,2.9760021,2.975771729,3.084907237,3.153546677,3.192921524,3.197771038,3.256710821,3.399546709,3.516412203
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California Sur<C1>,0.535713466,0.53335721,0.53698576,0.550277365,0.552384818,0.555824242,0.568806833,0.571936884,0.574821756,0.579524749,0.573180678,0.577858412,0.57945244,0.545588812,0.53767724,0.546177765,0.578141583,0.565994158,0.552507683,0.555550322,0.564813755,0.598246674,0.582016335,0.605517607,0.624840729,0.65477593,0.672263601,0.74502573,0.756628463,0.793775419,0.770995756,0.771103323,0.760455511,0.735347692,0.722137789,0.787245229,0.788742989,0.856193089,0.978464521,0.899768685,0.748024238,0.828464273
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Campeche<C1>,7.372210737,7.396041848,7.37766291,7.195478644,7.265026889,7.40105553,7.439366984,7.583890245,7.725044437,7.793938077,7.833651717,7.787294829,7.755611107,7.47921094,7.504633378,7.429860556,7.6594918,7.583038502,7.451974496,6.874910359,7.049669387,7.612524104,7.814391834,8.34065253,8.118814044,7.780606944,7.280542755,6.647570046,6.02128514,5.720443577,5.253257686,4.883797993,4.632152235,4.609746131,4.26946246,3.84576114,3.53664356,3.103799736,2.991117905,2.928266683,2.957500771,2.713226167
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,2.977550706,3.002064387,2.999843382,2.933568185,2.952522681,2.980502857,2.925188526,2.933830181,2.922226803,2.9097494,2.921298332,2.904792439,2.948402759,2.934329873,2.877245234,2.963242783,3.221140399,3.28738692,3.283048827,3.278595818,3.194620429,3.203349767,3.37548203,3.476151466,3.441534344,3.437799434,3.448962449,3.511030998,3.459940262,3.086976875,3.413726996,3.517170381,3.561350971,3.440644805,3.480498297,3.40137749,3.369597643,3.472179293,3.435566981,3.418224924,3.288482234,3.329703278
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Colima<C1>,0.550059581,0.543702431,0.549110446,0.561662551,0.562467828,0.567545659,0.581107629,0.584529151,0.587611662,0.584422779,0.578985775,0.573133423,0.566603313,0.56282354,0.562725121,0.565948653,0.572587455,0.559838472,0.568965066,0.57221313,0.565311895,0.556528286,0.561547894,0.539313344,0.519467289,0.511384427,0.520650255,0.543874318,0.548184761,0.560110172,0.571278491,0.591195022,0.586743133,0.584444594,0.583197472,0.578295884,0.580455875,0.588808722,0.593353257,0.617562584,0.620984003,0.594815393
